 0.99997    -0.00478
 0.99474    -0.00244
 0.98542    -0.00026
 0.97404     0.00192
 0.96057     0.00434
 0.94523     0.00700
 0.92861     0.00987
 0.91130     0.01283
 0.89369     0.01583
 0.87597     0.01886
 0.85824     0.02186
 0.84053     0.02483
 0.82290     0.02776
 0.80531     0.03063
 0.78767     0.03346
 0.77013     0.03628
 0.75276     0.03900
 0.73537     0.04162
 0.71799     0.04416
 0.70063     0.04662
 0.68328     0.04897
 0.66594     0.05123
 0.64858     0.05340
 0.63125     0.05547
 0.61390     0.05743
 0.59657     0.05930
 0.57923     0.06107
 0.56190     0.06272
 0.54456     0.06427
 0.52722     0.06571
 0.50989     0.06706
 0.49257     0.06828
 0.47525     0.06940
 0.45794     0.07040
 0.44066     0.07129
 0.42340     0.07205
 0.40616     0.07269
 0.38895     0.07319
 0.37178     0.07358
 0.35464     0.07382
 0.33755     0.07391
 0.32051     0.07386
 0.30354     0.07365
 0.28664     0.07329
 0.26981     0.07276
 0.25308     0.07204
 0.23645     0.07114
 0.21994     0.07004
 0.20359     0.06874
 0.18740     0.06722
 0.17141     0.06548
 0.15569     0.06350
 0.14026     0.06126
 0.12522     0.05877
 0.11067     0.05603
 0.09674     0.05305
 0.08361     0.04986
 0.07148     0.04653
 0.06053     0.04314
 0.05087     0.03977
 0.04253     0.03652
 0.03541     0.03340
 0.02939     0.03048
 0.02428     0.02773
 0.01993     0.02514
 0.01623     0.02268
 0.01305     0.02034
 0.01032     0.01809
 0.00800     0.01593
 0.00600     0.01382
 0.00431     0.01175
 0.00291     0.00970
 0.00180     0.00770
 0.00095     0.00574
 0.00037     0.00381
 0.00005     0.00190
 0.00000     0.00000
 0.00020    -0.00190
 0.00069    -0.00378
 0.00148    -0.00566
 0.00257    -0.00754
 0.00397    -0.00936
 0.00567    -0.01114
 0.00768    -0.01288
 0.00999    -0.01457
 0.01268    -0.01623
 0.01576    -0.01788
 0.01929    -0.01951
 0.02338    -0.02114
 0.02810    -0.02277
 0.03364    -0.02441
 0.04014    -0.02605
 0.04778    -0.02767
 0.05678    -0.02924
 0.06722    -0.03072
 0.07911    -0.03203
 0.09232    -0.03314
 0.10662    -0.03399
 0.12174    -0.03458
 0.13748    -0.03493
 0.15369    -0.03505
 0.17025    -0.03495
 0.18708    -0.03468
 0.20412    -0.03424
 0.22133    -0.03367
 0.23869    -0.03298
 0.25617    -0.03219
 0.27375    -0.03130
 0.29143    -0.03035
 0.30919    -0.02932
 0.32701    -0.02825
 0.34490    -0.02714
 0.36286    -0.02598
 0.38087    -0.02482
 0.39892    -0.02362
 0.41700    -0.02244
 0.43506    -0.02125
 0.45308    -0.02007
 0.47106    -0.01892
 0.48901    -0.01779
 0.50692    -0.01670
 0.52479    -0.01564
 0.54264    -0.01462
 0.56045    -0.01366
 0.57824    -0.01274
 0.59600    -0.01188
 0.61374    -0.01107
 0.63148    -0.01032
 0.64920    -0.00965
 0.66692    -0.00902
 0.68463    -0.00846
 0.70233    -0.00797
 0.72005    -0.00754
 0.73777    -0.00717
 0.75552    -0.00687
 0.77328    -0.00662
 0.79107    -0.00644
 0.80887    -0.00630
 0.82671    -0.00621
 0.84458    -0.00617
 0.86248    -0.00617
 0.88040    -0.00620
 0.89832    -0.00626
 0.91618    -0.00634
 0.93385    -0.00644
 0.95101    -0.00654
 0.96710    -0.00663
 0.98137    -0.00671
 0.99331    -0.00676
 0.99997    -0.00678
